name,mtom,oem,wing_weight,fuselage_weight,lg_weight,hortail_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac,y_mac,x_lemac,cLmax,cd,cd0,clalpha,cm,e,A,A_h,S,S_h,c_root,c_tip,t_r_h,sweep_le,sweep_1/4,sweep_m,b,taper,StotS,diskloading,mission_energy,wp_hover,power_hover,power_climb,power_cruise,wp_cruise,tw,WP_hover,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,ww,w_eng,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,A1,A2
J1,2217.4670095630527,1742.4670095630527,102.57537148887688,265.3127422679571,93.78933609023487,34.18628199024403,145.66712146136584,142.54688719919412,714.4126467488143,243.97662231636556,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.6432657812570053,1.659066413769092,0.1451013126919202,1.5,0.03593400034307435,0.021326748200432195,4.97,-0.115,0.9007058293690858,5.0,6,11.988672613292012,3.25,2.2120885516921227,0.8848354206768492,0.14877,0.08745961673847454,0.1,-0.255,7.742309930922429,0.4,1.2,500.0,1052198763.6660948,0.06822382182812936,997828.2103943587,135404.8160306392,182372.97535875064,0.06822382182812936,1.2333333333333332,0.0520326935875579,0.05476778781435742,1.2237037037037035,1860.46875,220.449,12.651153366486144,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,17613117.672739033,6432944.888237847,10019956.3862673,839426309.9449242,2678057.7163730953,125729048.16729656,5097710.959392324,29934846.311830763,15266771.619033689,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,6.0,6.0
J1,2190.1418681299956,1715.1418681299956,120.51499437458418,264.34546042369044,91.51077294521588,33.425737656909476,142.018820300137,138.97673376387476,685.2752736349461,239.0740750306377,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.5392928347584311,1.7267708082225988,0.13622182044042644,1.5,0.03522667273556013,0.021815507389767903,4.97,-0.115,0.8829324771588815,5.555555555555555,6,11.688410702588532,3.25,2.072124969867119,0.8288499879468477,0.14877,0.07888818816704597,0.1,-0.255,8.05826377170546,0.4,1.2,500.0,1009736456.6541424,0.06822382182812936,972837.1363471234,132013.53910689236,174305.42465898648,0.06822382182812936,1.2333333333333332,0.05269678590013779,0.05864122377777951,1.2237037037037035,1860.46875,220.449,12.905179913647917,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,17171988.90590639,6271828.775896028,9769001.893910035,802292988.5146245,2610984.5087853884,122580105.37343076,4970036.405064754,29185114.090413705,14884408.186110988,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,6.555555555555555,6.555555555555555
J1,2190.197882263479,1715.1978822634794,140.54939403288745,263.87389536130667,90.41776947932622,33.060131478711966,140.26876749929653,137.26416762889966,673.0457523104064,236.7180044726444,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.4585873587214615,1.7998594009864184,0.12936525649492286,1.5,0.03456329504238333,0.022128921673133097,4.97,-0.115,0.8657199382794228,6.111111111111111,6,11.54437813110111,3.25,1.963482982894275,0.7853931931577101,0.14877,0.07187520115405895,0.1,-0.255,8.399343871269952,0.4,1.2,500.0,982371441.8783917,0.06822382182812936,960849.1734022975,130386.77820735364,168915.49777800307,0.06822382182812936,1.2333333333333332,0.05302450064818176,0.06014900690886668,1.2237037037037035,1860.46875,220.449,13.152870663926482,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,16960383.942442585,6194543.022553952,9648621.58734417,777484233.6885507,2578810.1762364055,121069589.6806322,4908792.225507558,28825475.202068925,14700992.353055153,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,7.111111111111111,7.111111111111111
J1,2209.7576143015267,1734.7576143015265,163.12908563667384,263.87486716722805,90.42001004017331,33.06088146434359,140.27235495341566,137.2676782386551,670.0098996382164,236.72283716282053,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.396508934186278,1.8799158729430663,0.12413281018510965,1.5,0.03388801858290944,0.022265394117314187,4.97,-0.115,0.8490016945971267,6.666666666666667,6,11.544673385188085,3.25,1.8799158729430665,0.7519663491772266,0.14877,0.0660310453099031,0.1,-0.255,8.772940740400976,0.4,1.2,500.0,967206168.0024784,0.06822382182812936,960873.7476705858,130390.11292393309,165619.56609210194,0.06822382182812936,1.2333333333333332,0.05302382259519128,0.06160336029838745,1.2237037037037035,1860.46875,220.449,13.414964002671685,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,16960817.713982187,6194701.451541949,9648868.356371049,762313719.7048637,2578876.13078462,121072686.10477528,4908917.770682035,28826212.430117574,14701368.339359963,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,7.666666666666667,7.666666666666667
J1,2243.414946507524,1768.4149465075238,188.350648603025,264.2129211332546,91.202397753036,33.32263895994232,141.52506809748974,138.49355788431447,672.8980793759947,238.40963470046697,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.3477002455513039,1.9653961914289846,0.12005817281274019,1.5,0.03320943981106468,0.022271145769097563,4.97,-0.115,0.8327239635862033,7.222222222222222,6,11.647773986147342,3.25,1.8142118690113704,0.7256847476045483,0.14877,0.061085990364848144,0.1,-0.255,9.17184889333526,0.4,1.2,500.0,960442870.8728732,0.06822382182812936,969454.9051902012,131554.5719391921,163752.63612687573,0.06822382182812936,1.2333333333333332,0.052788630052116835,0.06308793136934673,1.2237037037037035,1860.46875,220.449,13.68907611805406,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,17112287.611893333,6250023.713255873,9735038.323500216,753720614.6762668,2601906.9840631993,122153935.11725657,4952757.241521136,29083647.155706037,14832660.04941008,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,8.222222222222221,8.222222222222221
J1,2288.032492761961,1813.0324927619608,216.29026874225875,264.7886761604811,92.5486883420117,33.7724460071708,143.68066932796188,140.60298547761013,680.0400008487441,241.30875785572255,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.3085292974929603,2.055062037729329,0.11682487581412632,1.5,0.03253850434242286,0.022184039400226868,4.97,-0.115,0.8168424723365476,7.777777777777778,6,11.82518394096542,3.25,1.7614817466251391,0.7045926986500557,0.14877,0.05684737184051533,0.1,-0.255,9.590289509403535,0.4,1.2,500.0,959612130.911784,0.06822382182812936,984220.898343271,133558.31022357164,162888.08089356526,0.06822382182812936,1.2333333333333332,0.05239114699856343,0.0645963723851394,1.2237037037037035,1860.46875,220.449,13.971341295453923,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,17372928.844773583,6345219.278168049,9883314.9565443,749741239.94811,2641537.2345327293,124014490.11564308,5028193.839062276,29526626.95029813,15058579.744652048,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,8.777777777777779,8.777777777777779
J1,2341.847114080975,1866.8471140809752,247.06334708997568,265.5406289903442,94.33338661393336,34.3675563419229,146.53822312985162,143.39932960370476,690.4592239522702,245.14541835897228,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.2766684574275113,2.1482401927866777,0.11423031445633762,1.5,0.031880986633468666,0.02202961623888701,4.97,-0.115,0.8013202201702764,8.333333333333334,6,12.060365886362822,3.25,1.718592154229342,0.6874368616917369,0.14877,0.05317390245276023,0.1,-0.255,10.025120899671162,0.4,1.2,500.0,963245501.1707888,0.06822382182812936,1003795.3072259333,136214.54824736723,162770.6328781121,0.06822382182812936,1.2333333333333332,0.05187780796677493,0.06611583028935228,1.2237037037037035,1860.46875,220.449,14.259488096718853,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,17718445.60149905,6471414.441073127,10079876.570305174,749200650.2361296,2694072.7273215507,126480918.47637458,5128195.70075081,30113859.216778,15358068.20055678,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,9.333333333333334,9.333333333333334
J1,2397.5413132716403,1922.5413132716403,280.8254306309309,266.4310609865096,96.4859671508474,35.08359726684378,149.98480835599713,146.77208792092102,697.1950543647404,249.76330659485015,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.250581334405792,2.2446331643180883,0.11214101260780097,1.5,0.03123913523294703,0.0218249675067978,4.97,-0.115,0.7861258812779283,8.88888888888889,6,12.344026203773751,3.25,1.683474873238566,0.6733899492954265,0.14877,0.04995961673847451,0.1,-0.255,10.474954766817746,0.4,1.2,500.0,970462855.8240746,0.06822382182812936,1027404.6154464472,139418.3202022069,163244.9117369231,0.06822382182812936,1.2333333333333332,0.051278279065126525,0.06763926319950667,1.2237037037037035,1860.46875,220.449,14.55246907514068,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,18135184.193902176,6623622.383332007,10316955.69496331,751383660.9127578,2757437.43218712,129455755.04596844,5248811.081239822,30822138.463393416,15719290.616330642,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,9.88888888888889,9.88888888888889
J1,2455.3658648536893,1980.3658648536896,317.1310020878452,267.3343363101409,98.71373065188834,35.82269233244093,153.55177211803192,150.26264622899635,703.0179226305208,254.53176249382503,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.2275840956714585,2.3410658234760184,0.1103191738598724,1.5,0.030647188075945738,0.021615692190864837,4.97,-0.115,0.7712326358008087,9.444444444444445,6,12.637593896589411,3.25,1.652517051865425,0.6610068207461701,0.14877,0.04712348228469301,0.1,-0.255,10.924973842888086,0.4,1.2,500.0,978966066.0019248,0.06822382182812936,1051838.5236029744,142733.9899782063,163960.35282875467,0.06822382182812936,1.2333333333333332,0.050679189572075165,0.06916414787300265,1.2237037037037035,1860.46875,220.449,14.833548457530737,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,18566478.173249308,6781146.477096687,10562315.258387266,754676693.0877155,2823015.2697328017,132534493.43352434,5373639.18300404,31555155.708089232,16093129.411125509,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,10.444444444444445,10.444444444444445
J1,2524.621330272911,2049.621330272911,356.09978527887887,268.2533532056879,101.02670807773379,36.58800877497674,157.2551753996371,153.88672148043264,717.0400975058556,259.47148054970876,9.05,1.69,0.9,83.33,104.17,45,2,30.5,5,0.4546065494115993,1.207298103760469,2.437813478747101,0.10873251201337582,1.5,0.03009635374833084,0.021401841195792033,4.97,-0.115,0.7566172960495666,10.0,6,12.942390813372937,3.25,1.6252089858314007,0.6500835943325604,0.14877,0.04460247388133165,0.1,-0.255,11.376462900819805,0.4,1.2,500.0,988685782.2322949,0.06822382182812936,1077207.0503630284,146176.4870564918,164896.79247798317,0.06822382182812936,1.2333333333333332,0.05007887961652127,0.07062328784753336,1.2237037037037035,1860.46875,220.449,15.10503741460083,0,0,0.045,2.9978808587535037,4.496821288130255,55.78,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.57, 0.57, 3.4, 3.4, 6.8, 6.8]","[2.3, -2.3, 5.4, -5.4, 2.3, -2.3]",400,120,19014269.5288698,6944696.006808538,10817060.042180395,758986937.3971682,2891101.5175809455,135730996.28814656,5503242.070095451,32316211.510890853,16481267.870554335,668.7430851207065,0.0,-11410.654973840816,29762.823583077294,-292.93314206608113,5970.934511853627,0.0,0.0,-7050.856683312572,27853.077612714507,0.0,1457.8881285574364,0.17,2.923973112660695e-05,0.00012899881379385418,0.0,0.00015823854492046113,0.15262271672594943,0.0060632602858685936,23135603.499779053,96540892.02662314,11852768.941238347,89465754.69746049,3531983.863062337,11.0,11.0
