name,mtom,oem,wing1_weight,wing2_weight,fuselage_weight,lg_weight,nacelle_weight,powertrain_weight,h2_weight,misc_weight,l_fuse,w_fuse,eff,diskloading,v_cruise,v_max,v_stall,loadfactor,h_hover,roc,cL_cruise,mac1,y_mac1,x_lemac1,mac2,y_mac2,x_lemac2,cLmax,cd,cd0,clalpha,cm,e,b1,b2,A1,A2,S1,S2,S,S1/S,S2/S,c_root1,c_root2,c_tip1,c_tip2,sweep_le1,sweep1_1/4,sweep2_1/4,sweep_le2,sweep_m,taper1,taper2,StotS,mission_energy,WP_hover,power_hover,power_climb,power_cruise,WP_cruise,TW,WS,ld_climb,ld_cr,ducted_bool,tandem_bool,G,n_max,n_ult,A_tot,l_cockpit,l_cabin,l_tail,l_fuselage,d_fuselage,upsweep,h_wings,x_rotor_loc,y_rotor_loc,takeoff_energy,trans2hor_energy,climb_energy,cruise_energy,descend_energy,hor_loiter_energy,trans2ver_energy,ver_loiter_energy,land_energy,Vx_cr,Vy_cr,Vz_cr,Mx_cr,Mz_cr,T_cr,Vx_vf,Vy_vf,Vz_vf,Mx_vf,Mz_vf,T_vf,thickness_to_chord,i_xx,i_zz,i_xz,j_y,area_enclosed,area,max_shear_cr,max_axial_cr,max_shear_vf,max_axial_vf,crit_buck_stress,depsda,diskarea,cl_alpha1,cl_alpha2,alpha
L1,3979.6687926345703,3504.6687926345703,134.5602971061371,500.22358350023956,291.1083487846956,162.41194162699787,255.54159740626307,250.0678182882444,1204.7015391163902,387.44741292973237,10,1.7,0.6,1000.0,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.108237416309114,1.2979165125620202,0.09817045498293168,1.3149174882911836,2.7347755068979147,0.11856402502311766,1.5,0.026346240756900542,0.016902408148281086,5.17,1.11,0.780952380952381,6.056943725289427,12.762285698856934,5.8,10.3,6.3252702226418895,15.81319769507264,22.13846791771453,0.285714,0.714286,1.491858060416115,1.770081234238132,0.596743224166446,0.7080324936952529,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1684038547.1080332,0.006810947102157087,1750474.7280177108,253794.67218631966,282749.871602541,0.04946127261194276,1.2249512670565301,1767.4453125,251.9211,16.392328071620746,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",30898422.23998331,11366496.96876928,18780805.741787653,1301441076.397582,3089425.6226524,230288194.33326563,8877620.624790678,52514241.84053133,26782263.338670976,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918,0.1,3.989999780464907,4.403170835162595,5.074769759678473,4.520400845303174
L1,4200.653691544218,3725.6536915442184,139.7952820924283,519.6844720812674,296.90740653534584,170.66499526639288,283.29359393306186,277.2253585675532,1295.0792002448236,404.3075926829612,10,1.7,0.6,1111.111111111111,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1365302788180924,1.3310518073081126,0.10067670783489392,1.3484868112172896,2.8045932429451903,0.12159091764479259,1.5,0.025973834159630504,0.016530001551011052,5.17,1.11,0.780952380952381,6.211575100771191,13.088101800410888,5.8,10.3,6.6523560745725225,16.630913469700847,23.28326954427337,0.285714,0.714286,1.5299446061012785,1.8152707074078902,0.6119778424405115,0.7261082829631561,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1799404735.4106104,0.006641394919070814,1940577.5099728724,273573.0167057253,300476.54855338926,0.04998406756322209,1.2249512670565301,1767.4453125,251.9211,16.627357335339322,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",34254012.54461902,12561986.830136146,20244403.23622367,1383033423.022212,3330186.091757283,248234667.38976613,9837895.094124792,58217325.29918617,29690835.90258495,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918,0.1,3.7766938816140057,4.403170835162595,5.074769759678473,4.520400845303174
L1,4597.771175673972,4122.771175673972,149.55298149537344,555.9584062730844,307.58560322548965,186.3127462337328,324.81935191561627,317.86162212253913,1469.7754681899105,436.1076166115007,10,1.7,0.6,1222.2222222222222,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.1883254815653106,1.391711958217835,0.10526485703902556,1.409941529222324,2.932407238180661,0.12713219212643825,1.5,0.025359865312925604,0.01591603270430615,5.17,1.11,0.780952380952381,6.494655805016563,13.68456711150975,5.8,10.3,7.272509314764712,18.181298740719836,25.453808055484547,0.285714,0.714286,1.5996689174917642,1.8979982124146673,0.6398675669967058,0.759199284965867,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,1980677086.5174773,0.0063519183390478955,2225031.354857774,306091.10229925974,328245.59554229403,0.050951866440865225,1.2249512670565301,1767.4453125,251.9211,17.029909923097954,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",39275036.19401127,14365434.659865992,22650741.57014522,1510848789.2996426,3726026.5795296836,277740925.93333405,11276211.905891426,66750940.64573322,34042979.729323946,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918,0.1,3.753426349341501,4.403170835162595,5.074769759678473,4.520400845303174
L1,5024.594992857846,4549.594992857846,160.0117106285004,594.8383959754295,318.85841769483807,203.45226245995153,370.95094617344296,363.0050635320922,1654.1626012569532,470.7160503313786,10,1.7,0.6,1333.3333333333335,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.2425834459328755,1.455256381871387,0.11007116385562006,1.4743183000983684,3.0662985414545885,0.13293694348233823,1.5,0.02479713274957983,0.015353300140960374,5.17,1.11,0.780952380952381,6.791196448733139,14.309393193454744,5.8,10.3,7.951784345738897,19.87948869562028,27.83127304135918,0.285714,0.714286,1.6727084849096403,1.984659250132419,0.6690833939638562,0.7938637000529676,0.07563695663995236,0.1,0.1,0.04335420758452166,-0.209,0.4,0.4,1.2,2180187532.6340284,0.006074558971325913,2541035.4447246455,342095.1445888755,358715.0818251344,0.05189507245880986,1.2249512670565301,1767.4453125,251.9211,17.416377381305796,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",44852967.50715014,16368308.241620895,25315040.699576788,1651093737.2477102,4164301.3857357814,310410271.6534334,12874000.252774678,76231063.34173936,38877842.304287076,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918,0.1,3.7620073937984353,4.403170835162595,5.074769759678473,4.520400845303174
L1,5392.38101274945,4917.38101274945,168.74388389007743,627.2999696683418,328.14644096080485,218.04154880572548,414.1726187302923,405.3009146528667,1808.6282648751983,500.0127336434658,10,1.7,0.6,1444.4444444444443,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.28696722624274,1.507236616888132,0.11400279063771614,1.5269794068856497,3.1758235164362114,0.13768531198338108,1.5,0.024388436553289854,0.0149446039446704,5.17,1.11,0.780952380952381,7.033770878811282,14.820509743368985,5.8,10.3,8.529988409588558,21.325000878960683,29.85498928854924,0.285714,0.714286,1.7324558814806117,2.055549201576836,0.6929823525922447,0.8222196806307345,0.07563695663995237,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,2362001304.095123,0.005865064987823498,2837106.402570067,374674.8234138343,386402.3250047087,0.05259392626789461,1.2249512670565301,1767.4453125,251.9211,17.70823730325435,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",50079050.07896981,18239076.757255383,27725936.93262374,1778532576.9609904,4560891.643807556,339972418.6596143,14370433.025437128,85113192.077102,43407727.95932203,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918,0.1,3.7251295949887746,4.403170835162595,5.074769759678473,4.520400845303174
L1,5932.8559994292455,5457.8559994292455,181.25144090106255,673.7964112147923,341.2727089020188,239.36232342047228,472.3842680409853,462.2656526440076,2048.763738772827,542.5907283122382,10,1.7,0.6,1555.5555555555557,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.3492062284695194,1.5801280637268027,0.11951607784167603,1.6008256344876233,3.3294094686507014,0.1443439092377545,1.5,0.02388113541164741,0.014437302803027952,5.17,1.11,0.780952380952381,7.373930964058412,15.537244187036606,5.8,10.3,9.374975493568867,23.437471546369203,32.81244703993807,0.285714,0.714286,1.8162391537089686,2.1549575848871854,0.7264956614835875,0.8619830339548742,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,2610413240.477685,0.00559450902303861,3235859.568508053,420009.14707329014,424145.6128051168,0.05348146058519716,1.2249512670565301,1767.4453125,251.9211,18.084409074217753,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",57117622.81211319,20765935.543246575,31080676.88342347,1952257377.695101,5112743.343028092,381107874.5260464,16386571.221311674,97075787.0552416,49508651.39817321,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918,0.1,3.8017049029524235,4.403170835162595,5.074769759678473,4.520400845303174
L1,6531.013562919146,6056.013562919146,194.9989442962133,724.902313627298,355.48287623422164,263.34720923569944,538.5424725819822,527.0067282237013,2310.9910601018973,590.1952710800293,10,1.7,0.6,1666.6666666666667,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.4159561322008622,1.658302470212164,0.1254289520353633,1.6800240214635906,3.4941268831016807,0.1514851022166479,1.5,0.023408553928376145,0.013964721319756691,5.17,1.11,0.780952380952381,7.738744860990098,16.305925454474508,5.8,10.3,10.32554690060356,25.81390339095919,36.13945029156275,0.285714,0.714286,1.9060947933473147,2.2615707981240645,0.762437917338926,0.9046283192496258,0.07563695663995235,0.1,0.1,0.04335420758452166,-0.209,0.4,0.4,1.2,2890655176.7638865,0.005330777025825166,3689047.0975659094,471396.3619335298,466618.62720099534,0.05435212570475504,1.2249512670565301,1767.4453125,251.9211,18.449504538488107,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",65117041.14280883,23637060.61450713,34883330.7830812,2147752163.457279,5738276.483256581,427735602.4449858,18677868.318231843,110671412.92697728,56442420.59275842,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918,0.1,3.9080319179831653,4.403170835162595,5.074769759678473,4.520400845303174
L1,7019.497866985379,6544.497866985379,205.9329003567289,765.5489441717531,366.63824274883183,282.81685868372676,597.7691492804919,584.9647514057873,2517.23495684718,628.6377119467531,10,1.7,0.6,1777.7777777777778,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.4679098561050028,1.7191482737845132,0.13003114344188815,1.741666823933591,3.62233205785419,0.15704333597627812,1.5,0.023083540243465137,0.013639707634845682,5.17,1.11,0.780952380952381,8.022691944327727,16.904216269986218,5.8,10.3,11.097170005789827,27.742963854608426,38.840133860398254,0.285714,0.714286,1.9760324986028883,2.3445514937567573,0.7904129994411554,0.937820597502703,0.07563695663995235,0.1,0.1,0.04335420758452167,-0.209,0.4,0.4,1.2,3134786002.3053956,0.005142104869532726,4094753.2598405113,515832.86755845253,503515.3165622455,0.054965562434275035,1.2249512670565301,1767.4453125,251.9211,18.70927151493939,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",72278344.3634041,26199538.31276092,38171632.19932549,2317580240.993287,6279199.103405161,468056396.23742163,20728328.42501628,122842597.79521534,62649724.87555982,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918,0.1,3.9375724174151014,4.403170835162595,5.074769759678473,4.520400845303174
L1,7764.498971297237,7289.498971297237,222.01199898778796,825.3224770017079,382.83055786827714,312.0531263425945,680.5024381132363,665.9258679058304,2852.1013053863403,686.0694750280776,10,1.7,0.6,1888.888888888889,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.542642335933695,1.8066715049685,0.1366511342839399,1.8303364927464212,3.8067479171254885,0.165038539421004,1.5,0.022670830980196913,0.013226998371577457,5.17,1.11,0.780952380952381,8.431133689853,17.76482361325228,5.8,10.3,12.255864706236945,30.639704661161726,42.89556936739867,0.285714,0.714286,2.076633913756897,2.463914509466336,0.8306535655027588,0.9855658037865345,0.07563695663995236,0.1,0.1,0.04335420758452169,-0.209,0.4,0.4,1.2,3480262507.9665723,0.004892998359560805,4661481.075340813,579609.3390123605,555653.5238662757,0.05574899932697051,1.2249512670565301,1767.4453125,251.9211,19.049862897317944,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",82281913.7141605,29787560.980735164,42891091.08691468,2557561975.5582466,7055545.838089229,525925887.05669826,23593441.018788762,139844432.2602244,71320660.45271444,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918,0.1,4.092901887697732,4.403170835162595,5.074769759678473,4.520400845303174
L1,8665.547261458913,8190.5472614589125,241.11664279021082,896.3433768500907,401.77517318754434,347.6826042303825,780.9090360317837,764.1817258095376,3258.2984204358017,755.6450765363862,10,1.7,0.6,2000.0,83.33,104.17,45,2,30.5,5,0.4318762219410193,1.6290886999822154,1.907913496709941,0.14430877042342966,1.9329046195880077,4.020069896316213,0.17428694478917958,1.5,0.0222601695844001,0.012816336975780648,5.17,1.11,0.780952380952381,8.903596317979723,18.760326182808992,5.8,10.3,13.667935757507255,34.169887231591126,47.83782298909838,0.285714,0.714286,2.1930040192068283,2.6019869879069337,0.8772016076827314,1.0407947951627736,0.07563695663995235,0.1,0.1,0.043354207584521666,-0.209,0.4,0.4,1.2,3898248635.9794073,0.004633355089379124,5349272.080666764,657185.3101996402,618610.910157119,0.05656082751926097,1.2249512670565301,1767.4453125,251.9211,19.4012997207208,1,1,0.045,3.1876615566569133,4.78149233498537,2.09,2.103,3.25,3.942,9.295,1.7,0.1745,0,"[0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 0.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9, 6.9]","[1.91, 1.64, 1.37, 1.1, 0.82, 0.55, -1.91, -1.64, -1.37, -1.1, -0.82, -0.55, 4.16, 3.89, 3.62, 3.35, 3.07, 2.8, 2.53, 2.26, 1.99, 1.71, 1.44, 1.17, -4.16, -3.89, -3.62, -3.35, -3.07, -2.8, -2.53, -2.26, -1.99, -1.71, -1.44, -1.17]",94422424.25982822,34142927.943098925,48631712.954773374,2847342225.9157405,7999872.962939899,596316767.1113153,27070679.57750706,160478162.4200029,81843862.83420148,477.6125777021106,0.0,-11364.921963732802,28572.650279261365,-1090.5884025637883,-23747.275255611545,0.0,0.0,-10424.408752057077,27853.874739171577,0.0,0.0,0.17,4.263346668145125e-05,0.0001880888235946378,0.0,0.00023072229027608902,0.19670808171832374,0.006880232617668375,35205786.83631973,74099854.94950911,13836419.999282565,69579997.65612295,2746843.154431918,0.1,4.310887816037417,4.403170835162595,5.074769759678473,4.520400845303174
