label,x_rotor_loc,y_rotor_loc,pylon_length,total_disk_area,totalmass,mass_perpowertrain,mass_pernacelle,mass_pertotalengine,thrust_coefficient,thrust_per_engine,hub_radius,prop_radius,prop_area
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,584.1840250385401,97.36400417309001,16.364004173090013,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,600.4814167420925,100.08023612368208,19.08023612368209,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,613.321126245624,102.220187707604,21.220187707604005,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,615.0741054208806,102.51235090348011,21.512350903480097,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,619.2051635156156,103.20086058593593,22.200860585935924,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,618.9899825059817,103.1649970843303,22.16499708433028,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,621.5160065965572,103.5860010994262,22.586001099426195,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,622.2408104839665,103.70680174732775,22.706801747327756,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,626.1588393513214,104.35980655855356,23.359806558553558,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,629.1683357745824,104.86138929576373,23.861389295763725,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,630.1842354517204,105.03070590862006,24.030705908620064,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,624.9518424709199,104.15864041181999,23.15864041181999,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,619.9866398035717,103.33110663392863,22.331106633928623,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,619.1968727331571,103.19947878885951,22.19947878885951,81.0,,,,,
Engine,"[3.1248466424192243, 3.1248466424192243, 5.8358679674218426, 5.8358679674218426, 6.8, 6.8]","[2.3, -2.3, 4.697732064997583, -4.697732064997583, 2.3, -2.3]",2.2,40.0,618.894823312233,103.1491372187055,22.1491372187055,81.0,,,,,
