4.78000000000003,4.59000000000003,4.39000000000003,4.20000000000004,4.01000000000004,3.82000000000005,3.63000000000005,3.44000000000005,3.25000000000006,3.06000000000006,2.87000000000007,2.68000000000007,2.54000000000007,2.47000000000008,2.39000000000008,2.31000000000008,2.24000000000008,2.16000000000008,2.08000000000008,2.01000000000009,1.93000000000009,1.85000000000009,1.78000000000009,1.70000000000008,1.63000000000008,1.55000000000008,1.47000000000008,1.40000000000008,1.32000000000008,1.24000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008,1.18000000000008
5.95999999999996,6.14999999999995,6.34999999999995,6.53999999999995,6.72999999999994,6.91999999999994,7.10999999999993,7.29999999999993,7.48999999999993,7.67999999999992,7.86999999999992,8.05999999999991,8.19999999999991,8.26999999999991,8.34999999999991,8.42999999999991,8.4999999999999,8.5799999999999,8.6599999999999,8.7299999999999,8.8099999999999,8.8899999999999,8.95999999999989,9.03999999999989,9.10999999999989,9.18999999999989,9.26999999999989,9.33999999999989,9.41999999999988,9.49999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988,9.55999999999988
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.25,1.3,1.35,1.4,1.45,1.5,1.55,1.6,1.65,1.7,1.75,1.8,1.85,1.9,1.95,2,2.05,2.1,2.15,2.2,2.25,2.3,2.35,2.4,2.45,2.5,2.55,2.6,2.65,2.7,2.75,2.8,2.85,2.9,2.95,3,3.05,3.1,3.15,3.2,3.25,3.3,3.35,3.4,3.45,3.5
